2026-01-19 22:37:54 | INFO | P02 | === RUN START ===
2026-01-19 22:37:54 | INFO | P02 | project=Automation: Creating Files with Repetition Patterns
2026-01-19 22:37:54 | INFO | P02 | repo_dir=datafun_02_automation
2026-01-19 22:37:54 | INFO | P02 | python=3.14.2
2026-01-19 22:37:54 | INFO | P02 | os=Windows 11
2026-01-19 22:37:54 | INFO | P02 | shell=powershell
2026-01-19 22:37:54 | INFO | P02 | cwd=.
2026-01-19 22:37:54 | INFO | P02 | github_actions=False
2026-01-19 22:37:54 | INFO | P02 | START main()
2026-01-19 22:37:54 | INFO | P02 | START FUNCTION 1: create_files_from_numeric_range()
2026-01-19 22:37:54 | INFO | P02 | Starting quarter: 1
2026-01-19 22:37:54 | INFO | P02 | Ending quarter: 4
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_quarter_1.txt
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_quarter_2.txt
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_quarter_3.txt
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_quarter_4.txt
2026-01-19 22:37:54 | INFO | P02 | START FUNCTION 2: create_files_from_list()
2026-01-19 22:37:54 | INFO | P02 | Pet list =['dog', 'cat', 'fish']
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_dog.txt
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_cat.txt
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_fish.txt
2026-01-19 22:37:54 | INFO | P02 | START FUNCTION 3: create_files_using_list_comprehension()
2026-01-19 22:37:54 | INFO | P02 | WHY: Use list comprehension to TRANSFORM a list into a new list.
2026-01-19 22:37:54 | INFO | P02 | WHY: They are super compact list transformations.
2026-01-19 22:37:54 | INFO | P02 | Read it as <do this logic> FOR each <item> IN <list>.
2026-01-19 22:37:54 | INFO | P02 | Pet list =['dog', 'cat', 'fish']
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_favorite_dog.txt
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_favorite_cat.txt
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_favorite_fish.txt
2026-01-19 22:37:54 | INFO | P02 | START FUNCTION 4: create_files_periodically()
2026-01-19 22:37:54 | INFO | P02 | WHY: Use while loop for REPETITIVE tasks with a WAIT or DELAY.
2026-01-19 22:37:54 | INFO | P02 | Waiting seconds between files: 1
2026-01-19 22:37:54 | INFO | P02 | Number of files to create: 3
2026-01-19 22:37:54 | INFO | P02 | WROTE file: case_01.txt
2026-01-19 22:37:54 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:37:55 | INFO | P02 | WROTE file: case_02.txt
2026-01-19 22:37:55 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:37:56 | INFO | P02 | WROTE file: case_03.txt
2026-01-19 22:37:56 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:37:57 | INFO | P02 | END main()
2026-01-19 22:39:53 | INFO | P02 | === RUN START ===
2026-01-19 22:39:53 | INFO | P02 | project=Automation: Creating Files with Repetition Patterns
2026-01-19 22:39:53 | INFO | P02 | repo_dir=datafun_02_automation
2026-01-19 22:39:53 | INFO | P02 | python=3.14.2
2026-01-19 22:39:53 | INFO | P02 | os=Windows 11
2026-01-19 22:39:53 | INFO | P02 | shell=powershell
2026-01-19 22:39:53 | INFO | P02 | cwd=.
2026-01-19 22:39:53 | INFO | P02 | github_actions=False
2026-01-19 22:39:53 | INFO | P02 | START main()
2026-01-19 22:39:53 | INFO | P02 | START FUNCTION 1: create_files_from_numeric_range()
2026-01-19 22:39:53 | INFO | P02 | Starting quarter: 1
2026-01-19 22:39:53 | INFO | P02 | Ending quarter: 4
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_quarter_1.txt
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_quarter_2.txt
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_quarter_3.txt
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_quarter_4.txt
2026-01-19 22:39:53 | INFO | P02 | START FUNCTION 2: create_files_from_list()
2026-01-19 22:39:53 | INFO | P02 | Pet list =['dog', 'cat', 'fish']
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_dog.txt
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_cat.txt
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_fish.txt
2026-01-19 22:39:53 | INFO | P02 | START FUNCTION 3: create_files_using_list_comprehension()
2026-01-19 22:39:53 | INFO | P02 | WHY: Use list comprehension to TRANSFORM a list into a new list.
2026-01-19 22:39:53 | INFO | P02 | WHY: They are super compact list transformations.
2026-01-19 22:39:53 | INFO | P02 | Read it as <do this logic> FOR each <item> IN <list>.
2026-01-19 22:39:53 | INFO | P02 | Pet list =['dog', 'cat', 'fish']
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_favorite_dog.txt
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_favorite_cat.txt
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_favorite_fish.txt
2026-01-19 22:39:53 | INFO | P02 | START FUNCTION 4: create_files_periodically()
2026-01-19 22:39:53 | INFO | P02 | WHY: Use while loop for REPETITIVE tasks with a WAIT or DELAY.
2026-01-19 22:39:53 | INFO | P02 | Waiting seconds between files: 1
2026-01-19 22:39:53 | INFO | P02 | Number of files to create: 3
2026-01-19 22:39:53 | INFO | P02 | WROTE file: case_01.txt
2026-01-19 22:39:53 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:39:54 | INFO | P02 | WROTE file: case_02.txt
2026-01-19 22:39:54 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:39:55 | INFO | P02 | WROTE file: case_03.txt
2026-01-19 22:39:55 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:39:56 | INFO | P02 | END main()
2026-01-19 22:54:11 | INFO | P02 | === RUN START ===
2026-01-19 22:54:11 | INFO | P02 | project=Automation: Creating Files with Repetition Patterns
2026-01-19 22:54:11 | INFO | P02 | repo_dir=datafun_02_automation
2026-01-19 22:54:11 | INFO | P02 | python=3.14.2
2026-01-19 22:54:11 | INFO | P02 | os=Windows 11
2026-01-19 22:54:11 | INFO | P02 | shell=powershell
2026-01-19 22:54:11 | INFO | P02 | cwd=.
2026-01-19 22:54:11 | INFO | P02 | github_actions=False
2026-01-19 22:54:11 | INFO | P02 | START main()
2026-01-19 22:54:11 | INFO | P02 | START FUNCTION 1: create_files_from_numeric_range()
2026-01-19 22:54:11 | INFO | P02 | Starting quarter: 1
2026-01-19 22:54:11 | INFO | P02 | Ending quarter: 4
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_quarter_1.txt
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_quarter_2.txt
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_quarter_3.txt
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_quarter_4.txt
2026-01-19 22:54:11 | INFO | P02 | START FUNCTION 2: create_files_from_list()
2026-01-19 22:54:11 | INFO | P02 | Pet list =['dog', 'cat', 'fish']
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_dog.txt
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_cat.txt
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_fish.txt
2026-01-19 22:54:11 | INFO | P02 | START FUNCTION 3: create_files_using_list_comprehension()
2026-01-19 22:54:11 | INFO | P02 | WHY: Use list comprehension to TRANSFORM a list into a new list.
2026-01-19 22:54:11 | INFO | P02 | WHY: They are super compact list transformations.
2026-01-19 22:54:11 | INFO | P02 | Read it as <do this logic> FOR each <item> IN <list>.
2026-01-19 22:54:11 | INFO | P02 | Pet list =['dog', 'cat', 'fish']
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_favorite_dog.txt
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_favorite_cat.txt
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_favorite_fish.txt
2026-01-19 22:54:11 | INFO | P02 | START FUNCTION 4: create_files_periodically()
2026-01-19 22:54:11 | INFO | P02 | WHY: Use while loop for REPETITIVE tasks with a WAIT or DELAY.
2026-01-19 22:54:11 | INFO | P02 | Waiting seconds between files: 1
2026-01-19 22:54:11 | INFO | P02 | Number of files to create: 3
2026-01-19 22:54:11 | INFO | P02 | WROTE file: case_01.txt
2026-01-19 22:54:11 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:54:12 | INFO | P02 | WROTE file: case_02.txt
2026-01-19 22:54:12 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:54:13 | INFO | P02 | WROTE file: case_03.txt
2026-01-19 22:54:13 | INFO | P02 | Waiting 1 seconds...
2026-01-19 22:54:14 | INFO | P02 | END main()
